#{"t_start": 1669489949.0932534, "env_id": null}
r,l,t
-11.511905,50,114.453954
-9.069048,50,116.719343
-10.740476,50,117.082903
2.530952,44,117.40388
-10.164286,50,117.767525
-10.359524,2,117.776553
-10.0,1,117.783868
-9.72381,50,118.146745
40.27381,10,118.22361
-10.0,1,118.230868
-10.92381,50,118.593458
-11.285714,50,118.933649
-16.488095,44,119.248489
-10.171429,50,119.61134
-11.621429,50,119.969315
-10.47381,50,120.332102
-11.161905,50,120.690041
35.561905,14,120.795896
-10.0,1,120.803071
-11.069048,50,121.160878
-10.345238,50,121.523168
31.892857,17,121.644918
-10.892857,50,122.008348
-9.82381,50,122.371617
-10.82381,3,122.37601
27.119048,22,122.53829
21.45,26,122.713753
-10.354762,50,123.076939
-9.942857,50,123.439733
27.102381,22,123.602243
32.07381,16,123.711337
26.904762,21,123.849976
5.238095,41,124.142923
-10.454762,3,124.164083
-10.978571,50,124.52684
-10.840476,50,124.889325
-9.997619,50,125.240091
-9.87381,50,125.58644
-11.380952,50,125.943572
15.669048,31,126.172042
-10.0,1,126.179364
-10.0,1,126.186436
-10.704762,50,126.543917
-9.938095,50,126.906909
8.72619,38,127.185071
-11.121429,50,127.54295
-11.392857,50,127.906265
17.688095,30,128.126454
26.230952,22,128.284348
-10.0,1,128.297121
-12.064286,50,128.654708
-11.657143,50,129.01945
-10.0,1,129.026488
-10.454762,50,129.39
-11.538095,50,129.754192
-10.0,1,129.761446
-10.088095,50,130.124449
-10.247619,50,130.476261
-10.866667,3,130.486414
-17.095238,44,130.80151
43.254762,7,130.857309
38.564286,11,130.942262
-9.764286,50,133.203073
-9.897619,50,133.565163
-10.714286,50,133.921832
-10.27381,50,134.284125
42.921429,7,134.322826
39.280952,10,134.400654
-11.745238,50,134.763944
-9.904762,50,135.126105
38.557143,11,135.210406
-9.864286,50,135.571734
-10.045238,50,135.929399
-10.0,1,135.9309
-9.790476,50,136.294151
-2.871429,49,136.644663
-11.092857,4,136.662011
-9.72619,50,137.018735
37.430952,12,137.114365
27.759524,21,137.270445
-10.442857,50,137.633266
-10.0,1,137.640229
-10.071429,50,138.004564
-10.609524,50,138.368606
36.240476,13,138.467399
-10.916667,50,138.826349
-10.107143,50,139.189662
-14.72619,29,139.385956
-9.978571,50,139.749336
-11.492857,50,140.108659
-10.092857,50,140.471728
-10.030952,50,140.828423
-9.738095,50,141.194763
-10.571429,50,141.547366
11.730952,36,141.810421
-10.457143,50,142.174081
5.097619,42,142.481228
-10.338095,2,142.501441
-11.028571,50,142.859753
37.72619,11,142.939085
-9.909524,50,143.303671
46.583333,4,143.338185
15.338095,32,143.573444
-9.85,50,143.938503
-10.266667,50,144.297224
-10.909524,50,144.664897
-10.452381,50,145.029904
44.447619,6,145.078803
-9.961905,50,145.436981
-9.883333,50,145.802001
-10.0,1,145.809386
-11.288095,50,146.162052
