#{"t_start": 1668888091.39069, "env_id": null}
r,l,t
-5,20,139.030403
-5,20,139.724147
-5,20,140.406607
-5,20,141.104105
-5,20,141.804215
-10.0,9,142.121654
-5,20,142.834571
-10.0,8,143.112273
-10.0,7,143.348787
-5,20,144.119658
3.0,18,144.745742
-5,20,145.423793
-5,20,146.117466
-10.0,17,146.693638
-5,20,147.369
-5,20,148.109042
-10.0,11,148.501436
-10.0,2,148.57061
-10.0,5,148.74964
11.0,10,149.109176
-10.0,12,149.51843
-5,20,150.225341
-5,20,150.904011
-10.0,3,150.99939
-10.0,2,151.066086
-10.0,1,151.105222
-10.0,10,151.442545
-10.0,1,151.475894
-5,20,152.167325
-10.0,2,152.229195
-10.0,5,152.396442
-5,20,153.074279
-5,20,153.742453
13.0,8,154.014525
-5,20,154.68407
-10.0,1,154.713445
-10.0,3,154.809858
-5,20,155.492917
19.0,2,155.56352
-5,20,156.246169
20.0,1,156.284275
-5,20,156.955
-10.0,17,157.526206
12.0,9,157.85302
-10.0,2,157.915424
-10.0,1,157.948734
-5,20,158.642054
-5,20,159.312772
-5,20,160.015439
-10.0,6,160.233022
-10.0,11,16-10.0,15,1-5,20,161.324381
-10.0,8,161.604167
-10.0,8,16-5,20,162.-5,20,162.584712
-10.0,3,162.686405
-5,20,163.36789
19.0,2,16310.0,11,19.0,12,163.-5,20,164.430393
6.0,15,164.939491
-5,20,165.641448
11.0,10,165.988982
-10.0,5,166.153579
-10.0,20,166.825595
-5,20,167.523585
-5,20,168.197688
-10.0,5,168.370438
-5,20,169.066926
-10.0,5,169.245483
-10.0,16,169.806675
-10.0,9,170.113506
-10.0,1,170.146018
-10.0,11,170.526783
-10.0,3,170.627458
-5,20,171.328842
-10.0,17,171.925334
-10.0,7,172.172498
19-5,20,172.5784132.0,19,172.927461
-5,20,173.608329
12.0,9,173-5,20,174.104521
-5,20,174.804036
-10.0,10,175.140642
-5,20,175.821507
3.0,18,176.427571
-10.0,9,176.746421
-10.0,2,176.811858
3.0,18,177.436686
-5,20,178.111392
-5,20,178.805821
12.0,9,179.115477
-10.0,20,179.824296
-5,20,180.533963
-10.0,7,180.772551
-5,20,181.474232
-5,20,182.165128
-5,20,182.845314
-10.0,15,183.371851
-5,20,184.049663
16.0,5,184.222638
-5,20,184.916107
-5,20,185.626089
8.0,13,186.083101
-10.0,9,186.393681
-10.0,12,186.819075
10.0,11,187.220995
-10.0,6,187.424394
5.0,16,187.987139
-10.0,14,188.466492
-10.0,8,188.732103
-10.0,13,189.180233
-10.0,18,189.779111
-5,20,190.470497
-10.0,5,190.635195
17.0,4,190.776351
3.0,18,191.391924
-10.0,4,191.520005
-5,20,192.215713
-5,20,192.882263
-10.0,11,193.258399
17.0,4,193.394664
-5,20,194.075683
-5,20,194.733186
-10.0,7,194.962704
-5,20,195.642838
-5,20,196.321409
-5,20,197.040867
-10.0,4,197.17812
-5,20,197.884895
-10.0,18,198.513335
-10.0,10,198.864295
-5,20,199.558928
-10.0,12,199.960017
-5,20,200.67181
-10.0,3,200.770017
-5,20,201.44072
-10.0,5,201.610201
-10.0,3,201.715786
19.0,2,201.795544
-5,20,202.491586
-5,20,203.183245
-5,20,203.875799
-5,20,204.558142
-5,20,205.258127
-5,20,205.969959
-5,20,206.662907
-10.0,2,206.729855
-5,20,207.448416
-5,20,208.144212
-5,20,208.834266
13.0,8,209.111598
8.0,13,209.573624
-10.0,9,209.8774
-10.0,10,210.217526
5.0,16,210.773698
-5,20,211.443875
-10.0,6,211.65255
16.0,5,211.832532
-10.0,2,211.895057
-5,20,212.581153
-5,20,213.252012
-10.0,3,213.346972
