#{"t_start": 1669216680.5227418, "env_id": null}
r,l,t
-10.0,6,67.322978
-10.0,9,67.375504
-10.0,1,67.38138
-10.0,1,67.387325
-5,20,67.510132
-10.0,11,67.574616
-5,20,67.696624
-10.0,1,67.702541
19.0,2,67.719894
-10.0,10,67.778326
-10.0,2,67.790123
-5,20,67.912638
-10.0,2,67.924386
-10.0,2,67.936116
-10.0,6,67.971591
8.0,13,68.053553
20.0,1,68.065077
-10.0,14,68.146716
-10.0,12,68.216632
-10.0,3,68.234114
-10.0,19,68.345545
-10.0,6,68.380573
13.0,8,68.433019
-10.0,11,68.497179
-10.0,4,68.520584
9.0,12,68.59645
-10.0,3,68.614287
-10.0,11,68.678505
-5,20,68.801412
-10.0,14,68.883027
12.0,9,68.941273
-5,20,69.063359
-10.0,1,69.069288
-10.0,2,69.080985
-10.0,13,69.156644
-5,20,69.279344
-10.0,5,69.308495
-10.0,12,69.378947
-10.0,16,69.472176
-10.0,7,69.513395
20.0,1,69.525042
-5,20,69.647147
-10.0,2,69.658938
-10.0,4,69.682424
-5,20,69.804833
-10.0,9,69.857296
-5,20,69.98055
-10.0,2,69.992318
-10.0,14,70.073965
-10.0,18,70.179002
-5,20,70.301275
-10.0,6,70.336384
18.0,3,70.359631
-5,20,70.482522
-10.0,11,70.546944
-10.0,3,70.564387
-5,20,70.686757
7.0,14,70.774253
-10.0,2,70.786154
-10.0,1,70.792009
-5,20,70.914146
-10.0,8,70.960959
-5,20,71.082859
-10.0,2,71.094586
-10.0,9,71.147227
-10.0,19,71.257859
-5,20,71.380944
-10.0,1,71.386841
-10.0,1,71.392684
-5,20,71.523908
-10.0,11,71.593047
-10.0,10,71.654187
